   10.0000  0.000  0.6
   86.2500 19.233  1.2
   87.5000 19.117  1.2
   88.7500 19.003  1.2
   90.0000 18.892  1.2
   92.5000 18.684  2.5
   93.7500 18.584  1.2
   95.0000 18.485  1.2
   97.5000 18.300  2.5
  100.0000 18.122  2.5
  102.5000 17.956  2.5
  105.0000 17.796  2.5
  107.5000 17.647  2.5
  110.0000 17.503  2.5
  115.0000 17.239  5.0
  120.0000 16.999  5.0
  125.0000 16.782  5.0
  130.0000 16.584  5.0
  135.0000 16.403  5.0
  140.0000 16.238  5.0
  145.0000 16.087  5.0
  150.0000 15.950  5.0
  155.0000 15.823  5.0
  160.0000 15.706  5.0
  165.0000 15.600  5.0
  170.0000 15.502  5.0
  175.0000 15.413  5.0
  180.0000 15.330  5.0
  185.0000 15.255  5.0
  190.0000 15.186  5.0
  195.0000 15.123  5.0
  200.0000 15.065  5.0
  205.0000 15.013  5.0
  210.0000 14.965  5.0
  215.0000 14.921  5.0
  220.0000 14.882  5.0
  227.9400 14.827  7.9
  227.9500 14.827  0.0
  228.5000 14.823  0.6
  229.6000 14.816  1.1
  230.0000 14.814  0.4
  231.0000 14.808  1.0
  233.0000 14.796  2.0
  234.0000 14.790  1.0
  234.3500 14.788  0.3
  234.4500 14.788  0.1
  234.5500 14.787  0.1
  235.5500 14.782  1.0
  235.9500 14.779  0.4
  236.9500 14.774  1.0
  237.3400 14.772  0.4
  237.4400 14.771  0.1
  237.5400 14.771  0.1
  238.0000 14.768  0.5
  239.0000 14.763  1.0
  240.0000 14.758  1.0
  242.0000 14.748  2.0
  242.5200 14.746  0.5
  243.0400 14.743  0.5
  243.1400 14.743  0.1
  243.2400 14.742  0.1
  243.6200 14.741  0.4
  244.0000 14.739  0.4
  245.0000 14.734  1.0
  247.0000 14.726  2.0
  249.5000 14.715  2.5
  254.5000 14.696  5.0
  255.0000 14.694  0.5
  256.0000 14.690  1.0
  256.3300 14.689  0.3
  256.4300 14.689  0.1
  256.5300 14.689  0.1
  257.5300 14.685  1.0
  258.0000 14.684  0.5
  259.0000 14.680  1.0
  260.0000 14.677  1.0
  262.0000 14.671  2.0
  266.0000 14.659  4.0
  270.0000 14.648  4.0
