# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Sensitivity Curve
6.933457850966769758e-14,1.237597088423571218e-11,7.272874917182559273e-10,3.185590997283249407e-12
1.081607323991102381e-13,1.231257912450431760e-11,7.231670653898224614e-10,3.169797102182560097e-12
5.958497305054456903e-14,1.235983115503164042e-11,7.264144610809399706e-10,3.181440559867125453e-12
1.584685460670632259e-14,1.249425309959614984e-11,7.344862662381487795e-10,3.216646547675850336e-12
1.540345416010810714e-13,1.270128370130282551e-11,7.459904850327401344e-10,3.268534092898953276e-12
1.006515331130911505e-13,1.296024629275260185e-11,7.614109790398541181e-10,3.336023337108531589e-12
4.237247036054286603e-14,1.327529293004194305e-11,7.802313626132751711e-10,3.417655792607122751e-12
8.908018391458606886e-14,1.364428692403734721e-11,8.017573921711184131e-10,3.511920581617149826e-12
1.125320638572800505e-13,1.405247210243243263e-11,8.255394761080836657e-10,3.617205298505759823e-12
3.161640840887058660e-13,1.454344500787594258e-11,8.537436458376176616e-10,3.740142347474763395e-12
1.373505668118777732e-13,1.506411680350694450e-11,8.851944659006762895e-10,3.876172158808052676e-12
1.194911186193007107e-13,1.555125748156696131e-11,9.138051874170660316e-10,4.002254070429289696e-12
7.791935878438369641e-14,1.603714309256716407e-11,9.424817165058100562e-10,4.128127760173224969e-12
8.452038712311367394e-14,1.651260397753887702e-11,9.703924722018861735e-10,4.250519853676916638e-12
1.103891732958540035e-13,1.696185756873338550e-11,9.967016801453159045e-10,4.365839243781633269e-12
1.201548578410486113e-13,1.736707512233282191e-11,1.020445174614641616e-09,4.470204566110871863e-12
1.811982947693037605e-13,1.771446127149400826e-11,1.040474106043932964e-09,4.559486028361797436e-12
1.347861872018494474e-13,1.800220648771291367e-11,1.057870504852242241e-09,4.632927115690300398e-12
2.578117184102036269e-13,1.815526267192704811e-11,1.066078640590759618e-09,4.671936861905700405e-12
6.850507232225051946e-14,1.816358645669761935e-11,1.067531384852695677e-09,4.675790943159940475e-12
6.735705888972391822e-14,1.804583962507253336e-11,1.060553526770647630e-09,4.645754256731395997e-12
5.750371104134301553e-14,1.778650629246749967e-11,1.045322826247935684e-09,4.579182804256351024e-12
6.827393282744446551e-14,1.737978905214978593e-11,1.021370046598001123e-09,4.474300262565438326e-12
1.445939652254807104e-13,1.682432799694333229e-11,9.883916289024340615e-10,4.330357355041281953e-12
7.012227855019212576e-14,1.611521209998858139e-11,9.472305899286990861e-10,4.147775978173755111e-12
6.292490903012027894e-14,1.520283018271624070e-11,8.934116172595232289e-10,3.913903502221574193e-12
5.641571522148952644e-14,1.411964058286588717e-11,8.300377979210854114e-10,3.633845010446576898e-12
4.264046349303977653e-14,1.311270050399199821e-11,7.707784254654713992e-10,3.375324109144399423e-12
1.487721438837479844e-14,1.217795438769240263e-11,7.159389153396053454e-10,3.134998947038793644e-12
4.631455701624697560e-14,1.137028387390349628e-11,6.683186520457126852e-10,2.926654268775671776e-12
6.361889892854484096e-14,1.072693065444517025e-11,6.303821817392841784e-10,2.760977109214372130e-12
4.229869238917927917e-14,1.027489581210677960e-11,6.038271857716549192e-10,2.645175306946037508e-12
5.076040692330836802e-14,1.002495111432328484e-11,5.890560178329500430e-10,2.580882780697474446e-12
7.748383933352496163e-14,9.954577087401206557e-12,5.849813390265205572e-10,2.561659718495863551e-12
2.528923216717402546e-14,1.004716168106363853e-11,5.906632353255055413e-10,2.586086044699433987e-12
1.013641373070746747e-13,1.029398738388867399e-11,6.047763196015807028e-10,2.648998899614635912e-12
1.107901200078256179e-13,1.064153523771022463e-11,6.252622204184196288e-10,2.737947154886440254e-12
7.266421130010869757e-14,1.107610263343742837e-11,6.508997998599605293e-10,2.850655338870744123e-12
1.280932591469954955e-13,1.159362742948888934e-11,6.810677455049090722e-10,2.983287485263527451e-12
1.815936581895059444e-13,1.216931024613720802e-11,7.145683711708617721e-10,3.131337139176455821e-12
1.383728482550591903e-13,1.277898250543985714e-11,7.504840026546706476e-10,3.289357307246273911e-12
5.808620681796402556e-14,1.340468582128553407e-11,7.877781816514495513e-10,3.450742287893529969e-12
4.552692080312076696e-14,1.401453642368620710e-11,8.237614450567653547e-10,3.607582366426145340e-12
5.608556856914742300e-14,1.458460494261120302e-11,8.570571639346876565e-10,3.754963088053144876e-12
5.154686631964597938e-14,1.505601694866313775e-11,8.848866754252780650e-10,3.875947028330803647e-12
2.267460021059565590e-14,1.531565821876643675e-11,9.003820505489433991e-10,3.942745497090025219e-12
6.429774171081392056e-14,1.537628542352201877e-11,9.037750454312978733e-10,3.957776727095117076e-12
6.499468587190235365e-14,1.520723242226990917e-11,8.937784866207013454e-10,3.914499343720209135e-12
5.520031347535083365e-14,1.482776707295858920e-11,8.715488932282438481e-10,3.816757799628526766e-12
7.058381971304359819e-14,1.427386920062525523e-11,8.388929946684939161e-10,3.674049386854967679e-12
6.631392612477797615e-14,1.358703890576139860e-11,7.984280758021774334e-10,3.497716236298156262e-12
8.698558243170767448e-15,1.281355346865266112e-11,7.532707193827226999e-10,3.298977564709383211e-12
4.655178552797438178e-14,1.199693611569573692e-11,7.050982939544575915e-10,3.088251201114242354e-12
7.753130997759965997e-14,1.114591835077715970e-11,6.550148497560865548e-10,2.868399996413954522e-12
1.551591976455096611e-14,1.027097999676798959e-11,6.039169225908430534e-10,2.643597924444279403e-12
5.189508909306315705e-14,9.521663173804406811e-12,5.597402417081407930e-10,2.450087119616371794e-12
5.059550735089690617e-14,8.822552998374477328e-12,5.185314277122905972e-10,2.270605233623059230e-12
4.577531248540905501e-14,8.173884630140415514e-12,4.803422288157704177e-10,2.103978796180835018e-12
2.309535730843229864e-14,7.570252059194612887e-12,4.449394277889573485e-10,1.948885395230725751e-12
3.369040106777874907e-14,7.008197240662794125e-12,4.118259635657136196e-10,1.804140251780855607e-12
5.873357912384144210e-14,6.483185076898900481e-12,3.808390501926173883e-10,1.668726388880908597e-12
3.610458136512124161e-14,5.989445498234112288e-12,3.519369092084190324e-10,1.541773830992868799e-12
9.988525670556456775e-15,5.524876250123299629e-12,3.247192054423153591e-10,1.422541312374439259e-12
1.375456991903042584e-14,5.090644785113998071e-12,2.992472641987921787e-10,1.310400112103783127e-12
1.809882752475299694e-14,4.666095381681854154e-12,2.741884892778450165e-10,1.201393262664406043e-12
2.074040945904124746e-14,4.257313807144214693e-12,2.501944355003856428e-10,1.095908625162791342e-12
6.441037648109934893e-15,3.898451606429184902e-12,2.291907077130420311e-10,1.003532361929364948e-12
3.727734265184504184e-14,3.561561125650331847e-12,2.092355895609552976e-10,9.164764028528216238e-13
1.984276300865988946e-14,3.242078132766811940e-12,1.905098336211759052e-10,8.345100527020273490e-13
8.563239366043874396e-15,2.942263543958692915e-12,1.729373668994985747e-10,7.574394672639243367e-13
1.882237442841473569e-14,2.661972917066404811e-12,1.564266304145343805e-10,6.851003512204526680e-13
2.215137268776319079e-14,2.398884965790279321e-12,1.409383928530711678e-10,6.173511478373102849e-13
1.179974317081336425e-14,2.152280060002802143e-12,1.264665097774054311e-10,5.540667284963228213e-13
8.149539192542711334e-15,1.923177311073684103e-12,1.130126813739177895e-10,4.951326016740009263e-13
9.727530323448571378e-15,1.711095588711660186e-12,1.005526014071989919e-10,4.404425539678674577e-13
