# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Sensitivity Curve
nan,nan,nan,nan
7.591688933299355815e-16,1.794933371244790821e-14,1.052510910275048182e-12,4.609678735928436259e-15
3.134423493854757200e-16,1.772937105280306755e-14,1.041473388968481807e-12,4.558667264026806045e-15
4.649015377823656024e-16,1.746297189949015003e-14,1.025123974791786816e-12,4.488352067394702526e-15
6.069226314864525060e-16,1.713212587737815228e-14,1.005097325146052610e-12,4.401242787763092600e-15
5.724285351878869288e-16,1.674811783419656733e-14,9.827888334375762949e-13,4.302284690834196852e-15
4.086216599057907484e-16,1.632428956357282138e-14,9.583372414024747079e-13,4.196218315321717676e-15
4.164432105000628054e-16,1.590191137039606046e-14,9.334689468194528405e-13,4.087448980518752538e-15
4.353435550032195788e-16,1.548486907788114927e-14,9.088295244610143880e-13,3.979998362982718862e-15
4.475304923997752287e-16,1.508773101207864705e-14,8.854452622555520944e-13,3.877496841345635159e-15
3.761617684163658836e-16,1.471754479104726457e-14,8.639808794813537807e-13,3.783096091490859739e-15
4.034654162774757922e-16,1.438589075133901468e-14,8.441777365991950120e-13,3.698197500530498386e-15
5.134961074392955486e-16,1.410223287743333047e-14,8.273643116090109517e-13,3.622380887986508410e-15
6.074440530825180908e-16,1.384275764674949210e-14,8.116010197316758553e-13,3.554847412397516558e-15
2.966050709817389269e-16,1.359414704964127967e-14,7.984235346055394022e-13,3.494214443365430923e-15
5.814728555552723268e-16,1.339429312876168283e-14,7.854910938791430113e-13,3.439059003990624563e-15
5.671511255076024601e-16,1.321777265040604064e-14,7.753642852958742553e-13,3.392963917981013755e-15
6.069030541906614521e-16,1.306016847730178455e-14,7.657839752068720621e-13,3.352558797571890482e-15
6.760993161653718956e-16,1.292836985772112275e-14,7.578316705370425979e-13,3.317356103344144121e-15
6.081921135786688208e-16,1.280452915278497559e-14,7.506972323836709610e-13,3.286905417501442861e-15
5.369589670787707009e-16,1.270165039881336066e-14,7.450679331472328349e-13,3.260788009664700829e-15
5.216652227486755092e-16,1.261812561856001547e-14,7.404245333919100609e-13,3.238612038865394386e-15
6.636633594628180736e-16,1.254651309207488469e-14,7.352535612659369575e-13,3.220008312375177300e-15
4.945757218581969898e-16,1.247707345239718026e-14,7.317912785953001264e-13,3.204626535508858674e-15
5.473734148768928663e-16,1.243499573795149576e-14,7.293271166968906011e-13,3.192131998075010279e-15
6.688854195357688120e-16,1.240393441089933730e-14,7.270790199940091682e-13,3.182202653035135070e-15
5.159100537871584309e-16,1.236244737556276314e-14,7.250449577333304676e-13,3.174526551421846213e-15
4.730185480118383054e-16,1.233914437593284022e-14,7.239176621985002123e-13,3.168796227264188991e-15
6.541267938443873322e-16,1.233047109285077289e-14,7.225703764232481880e-13,3.164610292724237567e-15
5.276962761902155410e-16,1.231553287947412741e-14,7.224329464566358025e-13,3.161401169885984200e-15
6.297784105631053228e-16,1.230975481688265996e-14,7.216877093062645606e-13,3.158496639050331142e-15
6.271709389067407667e-16,1.229505026038292100e-14,7.206698428067428936e-13,3.155504902692313248e-15
7.280636832856516901e-16,1.228841567234092126e-14,7.200345153321448367e-13,3.151704723230619555e-15
7.334962884812004436e-16,1.226883151292079847e-14,7.188752113368310075e-13,3.146527829724234215e-15
7.013128640431783094e-16,1.223923592257934679e-14,7.172581615279061337e-13,3.139410960093273821e-15
7.609681300880879156e-16,1.220395247976794018e-14,7.148813877726686713e-13,3.129798835953301631e-15
6.542478595659633282e-16,1.214875604423103549e-14,7.120350677436556656e-13,3.117148098111971592e-15
5.668039284216030653e-16,1.208098015834261517e-14,7.083863258989963613e-13,3.100932157954534246e-15
7.862267302151076321e-16,1.201309938687307963e-14,7.034737952671828316e-13,3.080646898792751569e-15
7.111592389656939401e-16,1.191247119848794126e-14,6.978454048706751915e-13,3.055817136312893067e-15
7.041659726527115370e-16,1.179703346206456425e-14,6.911295241906283406e-13,3.026003719246700536e-15
6.956805860829819638e-16,1.166157877908744638e-14,6.833040081719610366e-13,2.990811121254923847e-15
4.712675902307544405e-16,1.149118323869136821e-14,6.742123836675494140e-13,2.949895343952469356e-15
5.228497243767804159e-16,1.130814523814666974e-14,6.630351973244203172e-13,2.902971920458294230e-15
5.337219161134013123e-16,1.110460235994277702e-14,6.511620021803810151e-13,2.849823780482592699e-15
5.429191214035371962e-16,1.087294035901128223e-14,6.374427742708614386e-13,2.790308713607004574e-15
6.930215759702431810e-16,1.061059782646727388e-14,6.214260451332778682e-13,2.720701220456955165e-15
7.080908373427133447e-16,1.032966933508035396e-14,6.049632898844014892e-13,2.647671937618566913e-15
6.368604528210743520e-16,1.002398411378970365e-14,5.873119452668468506e-13,2.569773227024176610e-15
7.415634055466596456e-16,9.716842442827585823e-15,5.687090642438307958e-13,2.489837714817157684e-15
6.127175168880304816e-16,9.404238398433931478e-15,5.509186573109328174e-13,2.410779721175081436e-15
5.722833184281847819e-16,9.108892081241265544e-15,5.337386718507911804e-13,2.335176046328067978e-15
5.799924918923764645e-16,8.838298382384223579e-15,5.178292264622357877e-13,2.265288735711767902e-15
7.063530816348079936e-16,8.603900054547982733e-15,5.035715244902957048e-13,2.203111580616749728e-15
6.986413466644063858e-16,8.399516100691320990e-15,4.916333298792403548e-13,2.150403351894339205e-15
6.635807175020982675e-16,8.232420193756242979e-15,4.819253124581296032e-13,2.107971165479049592e-15
6.740732771398488348e-16,8.103640362571131990e-15,4.742592655456803473e-13,2.074907529046517310e-15
6.417441281126679321e-16,8.002104470791491351e-15,4.683170574534581108e-13,2.049623263919683554e-15
6.074309143360897561e-16,7.926591066231413345e-15,4.640135529555483258e-13,2.030653386773678562e-15
7.039221076237822580e-16,7.877772178966826325e-15,4.607876567133877086e-13,2.016643689412252964e-15
6.058207780939798288e-16,7.833939521136133783e-15,4.586933859625556593e-13,2.006315725477522168e-15
7.167579976110208335e-16,7.808296820995865178e-15,4.566921754450331551e-13,1.998440578742650856e-15
7.078720305862997975e-16,7.777438355617830259e-15,4.546173016755245502e-13,1.991820472748537338e-15
6.228117105708554913e-16,7.750904556339828729e-15,4.536479895422903431e-13,1.985137978159580130e-15
6.581689459762642761e-16,7.721425270174052481e-15,4.517556390918380450e-13,1.977131343557616741e-15
7.511137312386150708e-16,7.688947308043519372e-15,4.496046569062898485e-13,1.966950211180906734e-15
6.394863432857793501e-16,7.627395795113590466e-15,4.462744128105565381e-13,1.953284992729979724e-15
6.295217684048080745e-16,7.556115675953184767e-15,4.421240962994375218e-13,1.935075229649399794e-15
6.972815941137298315e-16,7.468609946176009085e-15,4.367749061318365838e-13,1.911331088277112045e-15
7.479042288219552694e-16,7.353818466636589304e-15,4.297622294355688796e-13,1.881368275235606282e-15
6.719962656831629666e-16,7.213116047960407104e-15,4.219185489434274256e-13,1.845644652287076680e-15
6.190172513703593192e-16,7.056440545950114959e-15,4.129760850108455526e-13,1.805784669939919837e-15
6.268082601970740604e-16,6.890206788010621561e-15,4.030311293209665428e-13,1.763462493583067377e-15
6.561354246236189647e-16,6.723795585943424125e-15,3.931298878147736237e-13,1.720236022786671510e-15
7.273017891420817952e-16,6.561646113837648509e-15,3.833110488024986544e-13,1.677532638263621877e-15
7.520500410727077077e-16,6.404283178739128340e-15,3.739692037448972141e-13,1.636647283661090422e-15
7.570078217945389943e-16,6.257074380145264522e-15,3.652772082369458788e-13,1.598751153128389425e-15
7.435200645742936663e-16,6.124864242779438514e-15,3.575673968076376117e-13,1.564857766457407860e-15
7.299372601314054764e-16,6.010338983311222297e-15,3.509510602874075187e-13,1.535280463135494598e-15
6.771365576777372872e-16,5.906199219308060665e-15,3.449333752142594231e-13,1.509646929861605938e-15
7.193703074181671553e-16,5.823684152113160402e-15,3.400019940438248177e-13,1.487463880853598388e-15
7.120058083127440365e-16,5.749880865838564768e-15,3.357559729406607840e-13,1.468279680717061276e-15
6.637599628447894759e-16,5.680243638319109693e-15,3.316987592393218121e-13,1.451659512871769925e-15
7.770656567910306044e-16,5.629525817726459240e-15,3.283516343237022244e-13,1.436714270969007794e-15
6.601109219290344314e-16,5.575036626496746601e-15,3.256118810847978735e-13,1.424268396908862210e-15
6.239955479316414117e-16,5.528996879668034986e-15,3.229665383143773436e-13,1.413266950382363586e-15
7.295914855089607475e-16,5.497054940796888702e-15,3.207245398663502879e-13,1.403381161102957832e-15
6.832860308216210469e-16,5.459374844450696546e-15,3.186962609743172694e-13,1.394293605605484039e-15
6.487189457608217424e-16,5.425683305788293357e-15,3.169435546226630983e-13,1.385696163728379605e-15
6.974036299063503673e-16,5.394299365216732658e-15,3.148259917364127657e-13,1.377288662542443464e-15
6.803690449878370705e-16,5.360354276471894978e-15,3.128949286302541360e-13,1.368778173442913668e-15
7.529794226842312322e-16,5.330457735899429875e-15,3.109033511493346781e-13,1.359878934076791661e-15
8.062454772928455816e-16,5.296410432046372571e-15,3.087103136646869965e-13,1.350312944967922261e-15
6.998389878220873060e-16,5.250204280772469180e-15,3.064143427852590974e-13,1.339858803341939867e-15
6.684766716003915782e-16,5.203858315697852019e-15,3.037788553640301812e-13,1.328501464426322723e-15
6.027676086931478472e-16,5.153210229340449895e-15,3.010504013774613471e-13,1.316400959959327394e-15
5.770027036047465629e-16,5.101782175962924095e-15,2.980750945237861881e-13,1.303736186596828275e-15
5.872642029891323504e-16,5.052018111292737076e-15,2.951364010954020389e-13,1.290680895456301343e-15
6.509332222187409332e-16,5.003976453058840069e-15,2.920704435346877140e-13,1.277403082240670701e-15
6.526013391661325581e-16,4.950910233056588086e-15,2.888632049944413860e-13,1.264064596120452113e-15
6.614294282584325543e-16,4.898949555143195353e-15,2.857165905641357023e-13,1.250820955805907899e-15
6.554373888473588795e-16,4.850573880711468465e-15,2.830399500495871604e-13,1.237821360220248010e-15
6.352555331465776215e-16,4.798759026135520387e-15,2.799683218517085934e-13,1.225208880853999565e-15
7.616780511989067999e-16,4.760882412014636885e-15,2.773841726545452890e-13,1.213120823180395024e-15
6.450229232881108401e-16,4.707971038246305873e-15,2.746320002158477478e-13,1.201533128879155710e-15
6.574460746021749612e-16,4.666689476617218699e-15,2.721821087313326813e-13,1.190657713964784265e-15
7.546861486911834633e-16,4.633937181928132476e-15,2.698789366618613140e-13,1.180848716984003403e-15
6.774326943909875021e-16,4.594773655912676220e-15,2.679090495641733818e-13,1.171686072921497879e-15
5.896801115374598577e-16,4.555419069641335264e-15,2.658752203124992846e-13,1.163034657590986267e-15
6.300514193436571691e-16,4.525571631889573905e-15,2.639718298365432456e-13,1.154763679597126942e-15
6.019133982579548460e-16,4.492700251429736010e-15,2.621367900437258826e-13,1.146746208937807902e-15
6.459830051230767456e-16,4.465086216715234502e-15,2.603795568301285051e-13,1.138858846423410502e-15
6.303331836985463974e-16,4.432386315891668512e-15,2.584428393080638225e-13,1.130981526888773423e-15
7.120088735710792595e-16,4.405570275362485793e-15,2.565394608047919138e-13,1.122997449928634881e-15
7.291989362388693605e-16,4.375669756128988154e-15,2.547759775840007074e-13,1.114793132260270638e-15
6.706735276837029913e-16,4.339264064263608884e-15,2.528546989173326746e-13,1.106259169000347085e-15
6.471676868959523872e-16,4.303674625576375632e-15,2.508763845933387456e-13,1.097331137765292559e-15
6.831041256851998920e-16,4.269537767583457106e-15,2.487255865103836816e-13,1.088065948507140579e-15
6.562752997967459891e-16,4.231412609263887252e-15,2.465938101572650589e-13,1.078599690624942187e-15
7.029308985242389557e-16,4.196914673599179203e-15,2.443854556317089817e-13,1.069070284836095986e-15
6.932720988498779149e-16,4.159548353763302576e-15,2.422203925525801075e-13,1.059611059748280088e-15
6.682452094020849837e-16,4.121780854493827733e-15,2.400695313204459987e-13,1.050350751154750825e-15
